expression,reading,meaning,tags
途端,とたん,"just now, at the moment, etc",n3
土地,とち,"plot of land, lot, soil",n3
突然,とつぜん,"abruptly, suddenly, unexpectedly",n3
届く,とどく, reach,n3
飛ばす,とばす," skip over,  omit",n3
飛び出す,とびだす," jump out,  rush out,  fly out",n3
留める,とめる," fasten,  turn off,  detain",n3
泊める,とめる, have someone stay over night ,n3
友,とも,"friend, companion, pal",n3
共に,ともに,"sharing with, participate in",n3
虎,とら,tiger,n3
取り上げる,とりあげる," take up,  pick up  confiscate",n3
努力,どりょく,"great effort, exertion, endeavor",n3
取れる,とれる," come off,  be taken off",n3
泥,どろ,mud,n3
名,な,"name, reputation",n3
内容,ないよう,"subject, contents, detail",n3
仲,なか,"relation, relationship",n3
流す,ながす," drain,  float,  shed , blood, tears",n3
半ば,なかば,"middle, halfway",n3
仲間,なかま,"company, fellow, colleague, associate",n3
中身,なかみ,contents substance,n3
中味,なかみ,"contents, interior, filling",n3
眺め,ながめ,scene view prospect outlook,n3
眺める,ながめる," view,  gaze at",n3
流れ,ながれ,"stream, current",n3
流れる,ながれる," flow,  be washed away",n3
亡くす,なくす, lose someone,n3
殴る,なぐる, strike  hit  punch,n3
無し,なし,without,n3
謎,なぞ,"riddle, puzzle, enigma",n3
納得,なっとく,"consent, assent, understanding",n3
何か,なにか,something,n3
鍋,なべ,"saucepan, pot",n3
怠ける,なまける," be idle,  neglect",n3
波,なみ,wave,n3
涙,なみだ,tear,n3
悩む,なやむ," agonize,  be troubled",n3
鳴らす,ならす," ring,  sound",n3
生る,なる, bear fruit,n3
馴れる,なれる," become domesticated,  become tame",n3
縄,なわ,rope,n3
何で,なんで,"why, what for",n3
何でも,なんでも,"by all means, everything",n3
何とか,なんとか,"somehow, anyhow, one way or another",n3
似合う,にあう," suit a person,  match clothing, something becomes someone",n3
煮える,にえる," boil,  cook,  be cooked",n3
苦手,にがて,"poor at, weak in, dislike of",n3
握る,にぎる," grasp,  seize,  mold sushi",n3
日,にち,day,n3
日常,にちじょう,"ordinary, regular, everyday",n3
日光,にっこう,sunlight,n3
日中,にっちゅう,"daytime, broad daylight",n3
日本,にっぽん,japan,n3
入場,にゅうじょう,"entrance, admission, entering",n3
煮る,にる," boil,  cook",n3
人気,にんき,popularity,n3
人間,にんげん,"human being, person",n3
抜く,ぬく," extract,  omit,  unplug",n3
抜ける,ぬける," come out,  fall out,  be omitted",n3
布,ぬの,cloth,n3
濡らす,ぬらす," wet,  soak",n3
根,ね,root,n3
値,ね,"value, price, cost",n3
願い,ねがい,"desire, wish, request",n3
願う,ねがう," desire,  wish,  request",n3
鼠,ねずみ,"mouse, rat",n3
熱帯,ねったい,tropics,n3
熱中,ねっちゅう,"enthusiasm, zeal, mania",n3
年間,ねんかん,year,n3
年中,ねんじゅう,"whole year, always, everyday",n3
年代,ねんだい,"age, era, period",n3
年齢,ねんれい,"age, years",n3
野,の,field,n3
能,のう,"being skilled in, nicely, properly",n3
農家,のうか,"farmer, farm family",n3
農業,のうぎょう,agriculture,n3
農民,のうみん,"farmers, peasants",n3
能力,のうりょく,"ability, faculty",n3
軒,のき,eaves,n3
残す,のこす," leave behind, over,  save,  reserve",n3
残り,のこり,"remaining, leftover",n3
乗せる,のせる," place on something,  take on board",n3
載せる,のせる, place on something  publish,n3
覗く,のぞく," peek in,  look in",n3
除く,のぞく," remove,  exclude,  except",n3
望み,のぞみ,"wish, desire, a hope",n3
望む,のぞむ," desire,  wish for  view",n3
伸ばす,のばす," extend,  stretch,  reach out",n3
延ばす,のばす," extend,  stretch,  reach out",n3
伸びる,のびる," extend,  make progress,  grow",n3
延びる,のびる, be prolonged,n3
述べる,のべる," state,  express,  mention",n3
上る,のぼる," ascend,  go up,  climb",n3
昇る,のぼる," arise,  ascend,  go up",n3
載る,のる," appear in print,  be recorded",n3
場,ば,"place, field physics",n3
灰,はい,ash,n3
配達,はいたつ,"delivery, distribution",n3
俳優,はいゆう,"actor, actress, performer",n3
生える,はえる," grow,  spring up  cut teeth",n3
墓,はか,"grave, tomb",n3
馬鹿,ばか,"fool, idiot",n3
博士,はかせ,"doctorate, phd, doctor",n3
計る,はかる," measure,  weigh,  survey",n3
量る,はかる," measure,  weigh,  survey",n3
測る,はかる," measure,  weigh,  survey",n3
掃く,はく," sweep,  brush,  gather up",n3
吐く,はく," throw up,  vomit",n3
拍手,はくしゅ,"clapping hands, applause",n3
莫大,ばくだい,"enormous, vast",n3
爆発,ばくはつ,"explosion, detonation, eruption",n3
博物館,はくぶつかん,museum,n3
激しい,はげしい,"violent, vehement, intense",n3
破産,はさん,personal bankruptcy,n3
端,はし,"end , of street, edge, margin",n3
始まり,はじまり,"origin, beginning",n3
外す,はずす," unfasten,  remove",n3
外れる,はずれる," be disconnected,  be out , of gear",n3
旗,はた,flag,n3
肌,はだ,skin,n3
裸,はだか,"naked, nude",n3
畑,はたけ,"field, patch",n3
働き,はたらき,"work, labor",n3
発見,はっけん,"discovery, detection, finding",n3
発行,はっこう,issue publications,n3
発車,はっしゃ,departure of a vehicle,n3
発射,はっしゃ,"firing, shooting, discharge",n3
罰する,ばっする," punish,  penalize",n3
発達,はったつ,"development, growth",n3
発展,はってん,"development, growth, progress",n3
発表,はっぴょう,announcement publication presentation,n3
発明,はつめい,invention,n3
派手,はで,"showy, flashy, gaudy",n3
話し合う,はなしあう," discuss,  talk together",n3
離す,はなす," part,  separate",n3
放す,はなす," separate,  set free",n3
離れる,はなれる,"something, someone separates parts from  be apart",n3
放れる,はなれる," leave,  get free,  cut oneself off",n3
羽,はね,wing,n3
羽根,はね,feather,n3
幅,はば,"width, breadth",n3
母親,ははおや,mother,n3
省く,はぶく," omit,  eliminate",n3
場面,ばめん,"scene, setting , of novel",n3
流行る,はやる," be popular,  come into fashion",n3
腹,はら,"abdomen, belly, stomach",n3
原,はら,"field, plain",n3
針,はり,"needle, hand , clock",n3
範囲,はんい,"extent, scope, range",n3
反抗,はんこう,"opposition, resistance",n3
犯罪,はんざい,crime,n3
反省,はんせい,"reflection, reconsideration, regret",n3
判断,はんだん,"judgment, decision",n3
犯人,はんにん,"offender, criminal",n3
販売,はんばい,"sale, selling, marketing",n3
灯,ひ,light,n3
被害,ひがい,damage,n3
比較,ひかく,comparison,n3
悲劇,ひげき,tragedy,n3
飛行,ひこう,"aviation, flight",n3
膝,ひざ,"knee, lap",n3
非常,ひじょう,"emergency, extraordinary, unusual",n3
美人,びじん,beautiful person woman,n3
日付,ひづけ,"date, dating",n3
引越し,ひっこし,"moving, changing residence",n3
必死,ひっし,"desperation, frantic, inevitable result",n3
引っ張る,ひっぱる," pull,  stretch,  drag",n3
否定,ひてい,"negation, denial",n3
一言,ひとこと,one word,n3
人込み,ひとごみ,crowd of people,n3
等しい,ひとしい,equal,n3
独り,ひとり,"alone, unmarried",n3
一人一人,ひとりひとり,"one by one, each",n3
批判,ひはん,criticism,n3
批評,ひひょう,"criticism, review, commentary",n3
秘密,ひみつ,"secret, secrecy",n3
微妙,びみょう,"delicate, subtle",n3
紐,ひも,"string, cord",n3
冷やす,ひやす," cool,  refrigerate",n3
費用,ひよう,"cost, expense",n3
表,ひょう,"table , tab 1, chart, list",n3
秒,びょう,second 60th min,n3
評価,ひょうか,"assessment, evaluation",n3
表現,ひょうげん,"expression, presentation",n3
表情,ひょうじょう,facial expression,n3
平等,びょうどう,"equality, impartiality, evenness",n3
評判,ひょうばん,"fame, reputation",n3
表面,ひょうめん,"surface, outside, face",n3
広がる,ひろがる," spread out,  extend,  stretch,  reach ,  get around",n3
広げる,ひろげる," spread,  extend,  expand,  enlarge",n3
広める,ひろめる," broaden,  propagate",n3
瓶,びん,bottle,n3
便,びん,"way, means flight",n3
不,ふ,"un, non, negative prefix",n3
分,ぶ,"dividing, part",n3
不安,ふあん,"anxiety, uneasiness",n3
風景,ふうけい,scenery,n3
夫婦,ふうふ,"married couple, husband and wife",n3
笛,ふえ,"flute, whistle",n3
不可,ふか,"wrong, bad, impossible",n3
深まる,ふかまる, deepen,n3
武器,ぶき,"weapon, arms",n3
拭く,ふく," wipe,  dry",n3
服装,ふくそう,"clothes, attire",n3
含む,ふくむ," contain,  include",n3
含める,ふくめる, include,n3
袋,ふくろ,"bag, sack",n3
不幸,ふこう,"unhappiness, sorrow, misfortune",n3
節,ふし,"tune, tone, knob",n3
無事,ぶじ,"safety, peace",n3
不思議,ふしぎ,"mystery, curiosity",n3
不自由,ふじゆう,"discomfort, disability, inconvenience",n3
夫人,ふじん,"wife, mrs, madam",n3
婦人,ふじん,woman same as  、 ,n3
不正,ふせい,"injustice, unfairness",n3
防ぐ,ふせぐ," defend against,  protect,  prevent",n3
不足,ふそく,"insufficiency, shortage",n3
舞台,ぶたい,stage theater,n3
双子,ふたご,"twins, a twin",n3
再び,ふたたび,"again, once more, a second time",n3
普段,ふだん,"in everyday situations, usually, ordinarily",n3
打つ,ぶつ," hit,  strike",n3
不通,ふつう,"blockade, interruption, stoppage",n3
物価,ぶっか,commodity/consumer prices,n3
物質,ぶっしつ,"material, substance",n3
物理,ぶつり,physics,n3
筆,ふで,writing brush,n3
部分,ぶぶん,"portion, section, part",n3
不平,ふへい,"complaint, discontent, dissatisfaction",n3
不満,ふまん,"dissatisfaction, discontent, complaints",n3
増やす,ふやす," increase ,  add ",n3
殖やす,ふやす," increase,  add ",n3
不利,ふり,"disadvantage, drawback",n3
振る,ふる," wave,  shake  sprinkle  cast actor",n3
震える,ふるえる," shiver,  shake,  quake",n3
触れる,ふれる," touch,  feel,  violate",n3
文,ぶん,sentence,n3
雰囲気,ふんいき,"atmosphere , musical, mood, ambiance",n3
分析,ぶんせき,analysis,n3
文明,ぶんめい,civilization,n3
分野,ぶんや,"field, sphere",n3
塀,へい,"wall, fence",n3
平均,へいきん,"equilibrium, balance, average",n3
平和,へいわ,peace,n3
別に,べつに,"not particularly, nothing",n3
減らす,へらす," decrease,  diminish",n3
減る,へる," decrease in size or number,  diminish",n3
変化,へんか,"change, variation, shift",n3
変更,へんこう,"change, modification, alteration",n3
弁当,べんとう,box lunch,n3
方,ほう,side,n3
法,ほう,act law: the x act,n3
棒,ぼう,"pole, rod, stick",n3
冒険,ぼうけん,"risk, venture, adventure",n3
方向,ほうこう,"direction, course, way",n3
報告,ほうこく,"report, information",n3
宝石,ほうせき,"gem, jewel",n3
包装,ほうそう,"packing, wrapping",n3
豊富,ほうふ,"abundance, plenty",n3
方法,ほうほう,"method, means, technique",n3
訪問,ほうもん,"call, visit",n3
吠える,ほえる," bark,  howl",n3
誇り,ほこり,pride,n3
埃,ほこり,dust,n3
保証,ほしょう,"guarantee, assurance, warranty",n3
保存,ほぞん,"preservation, conservation",n3
歩道,ほどう,walkway,n3
仏,ほとけ,buddha,n3
骨,ほね,bone,n3
炎,ほのお,flame,n3
頬,ほほ,cheek of face,n3
微笑む,ほほえむ, smile,n3
堀,ほり,"moat, canal",n3
濠,ほり,moat,n3
本当,ほんと,"truth, reality",n3
本人,ほんにん,the person himself,n3
本物,ほんもの,genuine article,n3
間,ま,"space, room, pause",n3
迷子,まいご,lost stray child,n3
任せる,まかせる," entrust  another,  leave ",n3
巻く,まく," wind,  coil,  roll",n3
蒔く,まく, sow seeds,n3
撒く,まく," scatter,  sprinkle,  sow",n3
幕,まく,"curtain, act in play",n3
負け,まけ,"defeat, loss",n3
孫,まご,grandchild,n3
混ざる,まざる," be mixed,  mingle with",n3
交ざる,まざる," be mixed,  mingle with",n3
混じる,まじる," be mixed,  mingle with",n3
交じる,まじる," be mixed,  mingle with",n3
増す,ます," increase,  gain",n3
貧しい,まずしい,"poor, needy",n3
混ぜる,まぜる," mix,  stir",n3
交ぜる,まぜる," be mixed,  be blended with",n3
街,まち,"town street, road",n3
間違い,まちがい,mistake,n3
松,まつ,pine tree,n3
真っ赤,まっか,"deep red, flushed of face",n3
全く,まったく,"really, completely",n3
祭,まつり,"festival, feast",n3
学ぶ,まなぶ, learn  study,n3
真似,まね,"mimicry, imitation, behavior",n3
招く,まねく, invite,n3
柵,さく,"fence, paling",n3
裂ける,さける," split,  tear,  burst",n3
裁く,さばく, judge,n3
酸化,さんか,oxidation,n3
死,し,"death, decease",n3
資格,しかく,"qualifications, requirements, capabilities",n3
視覚,しかく,"sense of sight, vision",n3
指揮,しき,"command, direction",n3
磁気,じき,magnetism,n3
磁器,じき,"porcelain, china",n3
自己,じこ,"self, oneself",n3
字体,じたい,"font, lettering",n3
辞退,じたい,refusal,n3
視点,してん,"opinion, point of view, visual point",n3
脂肪,しぼう,"fat, grease",n3
志望,しぼう,"wish, desire, ambition",n3
衆,しゅう,"masses, people",n3
住,じゅう,"dwelling, living",n3
修飾,しゅうしょく,ornamentation modification gram,n3
私用,しよう,"personal use, private business",n3
仕様,しよう,"way, method, specification",n3
情,じょう,"feelings, emotion, passion",n3
生涯,しょうがい,one's lifetime,n3
上司,じょうし,one's superior,n3
正体,しょうたい,"natural shape, one's true colors, true character",n3
照明,しょうめい,illumination,n3
女史,じょし,ms,n3
助詞,じょし,"gram particles, postposition",n3
進行,しんこう,advance,n3
新興,しんこう,"rising, developing, emergent",n3
振興,しんこう,"promotion, encouragement",n3
申告,しんこく,"report, statement",n3
真理,しんり,truth,n3
水洗,すいせん,flushing,n3
擦る,する," rub,  chafe",n3
正規,せいき,"regular, legitimate",n3
精巧,せいこう,"elaborate, delicate, exquisite",n3
精算,せいさん,"exact calculation, adjustment",n3
成年,せいねん,"majority, adult age",n3
声明,せいめい,"declaration, statement, proclamation",n3
姓名,せいめい,full name,n3
生理,せいり,"physiology, menses",n3
膳,ぜん,"small table, tray, meal",n3
禅,ぜん,zen buddhism,n3
選挙,せんきょ,election,n3
先行,せんこう,"preceding, going first",n3
選考,せんこう,"selection, screening",n3
相,そう,"aspect, phase, countenance",n3
沿う,そう," run along,  follow",n3
添う,そう," accompany,  comply with",n3
僧,そう,"monk, priest",n3
像,ぞう,"statue, image",n3
捜査,そうさ,"search esp in criminal investigations, investigation",n3
操縦,そうじゅう,"management, control, manipulation",n3
創造,そうぞう,creation,n3
隊,たい,"party, troops",n3
退学,たいがく,dropping out of school,n3
高まる,たかまる, rise  grow  mount ,n3
断つ,たつ," sever,  cut off",n3
盾,たて,shield,n3
例え,たとえ,example even though,n3
挑戦,ちょうせん,"challenge, defiance",n3
治療,ちりょう,medical treatment,n3
接ぐ,つぐ, join  piece together  set bones  graft trees,n3
継ぐ,つぐ, succeed someone in a business or inheritance,n3
摘む,つむ," pluck,  pick,  trim",n3
露,つゆ,dew,n3
強まる,つよまる," get strong,  gain strength",n3
強める,つよめる," strengthen,  emphasize",n3
転校,てんこう,change schools,n3
伝言,でんごん,verbal message,n3
問う,とう," ask,  question",n3
棟,とう,ridge of roof,n3
倒産,とうさん,"corporate bankruptcy, insolvency",n3
同士,どうし,"one another, companion, comrade",n3
同志,どうし,"same mind, comrade, kindred soul",n3
当然,とうぜん,obvious natural,n3
動揺,どうよう,"disturbance, flutter shock",n3
説く,とく," explain,  advocate",n3
綴じる,とじる," bind,  file",n3
供,とも,"accompanying, attendant, companion, retinue",n3
並,なみ,"medium , food serving size, quality, price, etc, ordinary",n3
慣らす,ならす, accustom,n3
馴らす,ならす," domesticate,  tame",n3
難,なん,"difficulty, hardships, defect",n3
年鑑,ねんかん,yearbook,n3
脳,のう,"brain, memory",n3
臨む,のぞむ," look out on,  face,  attend function",n3
肺,はい,lung,n3
～敗,はい,"counter for loss, defeat",n3
映える,はえる," shine,  look attractive,  look pretty",n3
諮る,はかる," consult with,  confer",n3
図る,はかる," plot,  attempt,  devise,  design,  refer a  b",n3
生やす,はやす," grow,  cultivate,  wear beard",n3
班,はん,"group, party, section mil",n3
判,はん,size of paper or books,n3
版,はん,edition,n3
碑,ひ,stone monument bearing an inscription,n3
非行,ひこう,"delinquency, misconduct",n3
票,ひょう,"label, ballot, sign",n3
広まる,ひろまる," spread,  be propagated",n3
深める,ふかめる," deepen,  heighten,  intensify",n3
福,ふく,good fortune,n3
振り,ふり,"style, manner",n3
経る,へる," pass,  elapse,  experience",n3
保護,ほご,"care, protection, shelter",n3
保障,ほしょう,"guarantee, security, warranty",n3
補償,ほしょう,"compensation, reparation",n3
前もって,まえもって,"in advance, beforehand, previously",n3
膜,まく,"membrane, film",n3
股,また,"thigh, crotch",n3
見掛ける,みかける," happen  see,  notice,  catch sight of",n3
捲る,めくる," turn over,  turn pages of a book",n3
野党,やとう,opposition party,n3
優,ゆう,"superiority, high grade",n3
有機,ゆうき,organic,n3
世,よ,"world, society, generation",n3
良い,よい,"good, nice",n3
予想,よそう,"expectation, anticipation, prediction",n3
弱まる,よわまる," weaken,  be emaciated,  be dejected",n3
弱める,よわめる, weaken,n3
枠,わく,"frame, slide",n3
